"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerBirthdateComparator record1Value","[1] PlayerBirthdateComparator record2Value","[1] PlayerBirthdateComparator record1PreprocessedValue","[1] PlayerBirthdateComparator record2PreprocessedValue","[1] PlayerBirthdateComparator similarity","[1] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","tm_3553","fm_5264","0.0",,"Mexx Meerdink","Vincent Derksen","Mexx Meerdink","Vincent Derksen","0.0","0.0","2003-07-24T00:00","2003-09-07T00:00","2003-07-24T00:00","2003-09-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3772","fm_2965","0.0",,"Lance Duijvestijn","Claudio Kammerknecht","Lance Duijvestijn","Claudio Kammerknecht","0.0","0.0","1999-01-15T00:00","1999-07-07T00:00","1999-01-15T00:00","1999-07-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9125","fm_5926","0.0",,"Filippo Veneran","Luan Bausenhart","Filippo Veneran","Luan Bausenhart","0.0","0.0","2005-03-18T00:00","2005-07-16T00:00","2005-03-18T00:00","2005-07-16T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6854","fm_14319","0.0",,"Abdón Prats","Portu","Abdón Prats","Portu","0.0","0.0","1992-12-07T00:00","1992-05-21T00:00","1992-12-07T00:00","1992-05-21T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2226","fm_2827","0.0",,"Paul Rothrock","Jan Schöppner","Paul Rothrock","Jan Schöppner","0.0","0.0","1999-01-09T00:00","1999-06-12T00:00","1999-01-09T00:00","1999-06-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_1695","fm_15806","0.0",,"Alexander Fuchs","Maxence Prévot","Alexander Fuchs","Maxence Prévot","0.0","0.0","1997-01-05T00:00","1997-04-09T00:00","1997-01-05T00:00","1997-04-09T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8312","fm_10834","0.0",,"Lassana Diabaté","You Wenjie","Lassana Diabaté","You Wenjie","0.0","0.0","2003-08-21T00:00","2003-07-16T00:00","2003-08-21T00:00","2003-07-16T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3980","fm_16740","0.0",,"Niels Devalckeneer","Manex Irizar","Niels Devalckeneer","Manex Irizar","0.0","0.0","2004-05-17T00:00","2004-03-15T00:00","2004-05-17T00:00","2004-03-15T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3797","fm_2988","0.0",,"Philippe Rommens","Arianit Ferati","Philippe Rommens","Arianit Ferati","0.0","0.0","1997-08-20T00:00","1997-09-07T00:00","1997-08-20T00:00","1997-09-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6791","fm_14255","0.0",,"Juanpe","Danilo Pereira","Juanpe","Danilo Pereira","0.0","0.0","1991-04-30T00:00","1991-09-09T00:00","1991-04-30T00:00","1991-09-09T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10187","fm_3322","0.0",,"Paul Smyth","Dirk Abels","Paul Smyth","Dirk Abels","0.0","0.0","1997-09-10T00:00","1997-06-13T00:00","1997-09-10T00:00","1997-06-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10447","fm_7589","0.0",,"Keke Topp","David Pérez","Keke Topp","David Pérez","0.0","0.0","2004-03-25T00:00","2004-07-10T00:00","2004-03-25T00:00","2004-07-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_1508","fm_10357","0.0",,"Spencer Richey","Li Shenglong","Spencer Richey","Li Shenglong","0.0","0.0","1992-05-30T00:00","1992-07-30T00:00","1992-05-30T00:00","1992-07-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2925","fm_10362","0.0",,"Long Song","Zhao Honglyue","Long Song","Zhao Honglyue","0.0","0.0","1989-08-20T00:00","1989-12-04T00:00","1989-08-20T00:00","1989-12-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10267","fm_3419","0.0",,"Delano Burgzorg","Pedro Marques","Delano Burgzorg","Pedro Marques","0.0","0.0","1998-11-07T00:00","1998-04-25T00:00","1998-11-07T00:00","1998-04-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6311","fm_12710","0.0",,"Flavius Daniliuc","Stan Flaherty","Flavius Daniliuc","Stan Flaherty","0.0","0.0","2001-04-27T00:00","2001-12-05T00:00","2001-04-27T00:00","2001-12-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3451","fm_17679","0.0",,"Mikki van Sas","Dimitry Brunet","Mikki van Sas","Dimitry Brunet","0.0","0.0","2004-02-29T00:00","2004-06-04T00:00","2004-02-29T00:00","2004-06-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5933","fm_14811","0.0",,"Maxime Colin","Ante Budimir","Maxime Colin","Ante Budimir","0.0","0.0","1991-11-15T00:00","1991-07-22T00:00","1991-11-15T00:00","1991-07-22T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7826","fm_1781","0.0",,"Florian Grillitsch","Niklas Süle","Florian Grillitsch","Niklas Süle","0.0","0.0","1995-08-07T00:00","1995-09-03T00:00","1995-08-07T00:00","1995-09-03T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10764","fm_3924","0.0",,"Thore Jacobsen","Benaissa Benamar","Thore Jacobsen","Benaissa Benamar","0.0","0.0","1997-04-19T00:00","1997-04-08T00:00","1997-04-19T00:00","1997-04-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7088","fm_12066","0.0",,"Lisandro Martínez","Shayne Lavery","Lisandro Martínez","Shayne Lavery","0.0","0.0","1998-01-18T00:00","1998-12-08T00:00","1998-01-18T00:00","1998-12-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8005","fm_10510","0.0",,"Philipp Förster","Zheng Zhiyun","Philipp Förster","Zheng Zhiyun","0.0","0.0","1995-02-04T00:00","1995-02-17T00:00","1995-02-04T00:00","1995-02-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_1754","fm_7359","0.0",,"Devin Sür","Simone Cangianello","Devin Sür","Simone Cangianello","0.0","0.0","2004-05-29T00:00","2004-01-08T00:00","2004-05-29T00:00","2004-01-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5041","fm_9600","0.0",,"Ricardo Esgaio","Aytaç Kara","Ricardo Esgaio","Aytaç Kara","0.0","0.0","1993-05-16T00:00","1993-03-23T00:00","1993-05-16T00:00","1993-03-23T00:00","0.0","0.0"
