"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerBirthdateComparator record1Value","[0] PlayerBirthdateComparator record2Value","[0] PlayerBirthdateComparator record1PreprocessedValue","[0] PlayerBirthdateComparator record2PreprocessedValue","[0] PlayerBirthdateComparator similarity","[0] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","eafc_9410","fm_15233","0.0",,"2001-03-28T00:00","1995-04-24T00:00","2001-03-28T00:00","1995-04-24T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_3016","0.0",,"2001-03-28T00:00","1994-03-30T00:00","2001-03-28T00:00","1994-03-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_7612","0.0",,"2001-03-28T00:00","1995-07-30T00:00","2001-03-28T00:00","1995-07-30T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_3782","0.0",,"2000-02-08T00:00","2006-06-02T00:00","2000-02-08T00:00","2006-06-02T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_10281","0.0",,"1996-05-01T00:00","1987-08-13T00:00","1996-05-01T00:00","1987-08-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_3019","0.33333333333333337",,"2001-03-28T00:00","1999-10-03T00:00","2001-03-28T00:00","1999-10-03T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_9484","fm_13165","0.33333333333333337",,"2000-02-08T00:00","2002-12-01T00:00","2000-02-08T00:00","2002-12-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_5908","fm_15525","0.0",,"1996-05-01T00:00","1999-04-05T00:00","1996-05-01T00:00","1999-04-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_10270","0.33333333333333337",,"1998-04-01T00:00","1996-03-09T00:00","1998-04-01T00:00","1996-03-09T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_9484","fm_14016","0.0",,"2000-02-08T00:00","2003-09-28T00:00","2000-02-08T00:00","2003-09-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_16225","0.33333333333333337",,"2003-02-10T00:00","2001-03-28T00:00","2003-02-10T00:00","2001-03-28T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_10834","fm_16466","1.0",,"2003-02-10T00:00","2003-07-29T00:00","2003-02-10T00:00","2003-07-29T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_10803","fm_11120","0.0",,"1998-04-01T00:00","2004-09-10T00:00","1998-04-01T00:00","2004-09-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_10272","0.0",,"1998-04-01T00:00","1994-11-01T00:00","1998-04-01T00:00","1994-11-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10834","fm_8296","0.33333333333333337",,"2003-02-10T00:00","2005-03-11T00:00","2003-02-10T00:00","2005-03-11T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_4686","fm_15834","0.0",,"1996-03-11T00:00","1993-12-20T00:00","1996-03-11T00:00","1993-12-20T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_5811","0.0",,"1996-03-11T00:00","2005-04-01T00:00","1996-03-11T00:00","2005-04-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_11120","0.0",,"1996-05-01T00:00","2004-09-10T00:00","1996-05-01T00:00","2004-09-10T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_6979","1.0",,"1998-04-01T00:00","1998-06-28T00:00","1998-04-01T00:00","1998-06-28T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_5908","fm_10272","0.33333333333333337",,"1996-05-01T00:00","1994-11-01T00:00","1996-05-01T00:00","1994-11-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_8073","fm_11626","0.0",,"2001-04-02T00:00","1987-01-03T00:00","2001-04-02T00:00","1987-01-03T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_10270","1.0",,"1996-05-01T00:00","1996-03-09T00:00","1996-05-01T00:00","1996-03-09T00:00","1.0","1.0"
"LinearCombinationMatchingRule","eafc_9484","fm_5756","0.0",,"2000-02-08T00:00","2005-09-05T00:00","2000-02-08T00:00","2005-09-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_5908","fm_16867","0.0",,"1996-05-01T00:00","2000-02-11T00:00","1996-05-01T00:00","2000-02-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_10281","0.0",,"1998-04-01T00:00","1987-08-13T00:00","1998-04-01T00:00","1987-08-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_10374","0.6666666666666667",,"1996-03-11T00:00","1995-06-01T00:00","1996-03-11T00:00","1995-06-01T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_10834","fm_16237","0.33333333333333337",,"2003-02-10T00:00","2001-09-08T00:00","2003-02-10T00:00","2001-09-08T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_10834","fm_3814","0.33333333333333337",,"2003-02-10T00:00","2005-03-25T00:00","2003-02-10T00:00","2005-03-25T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_10834","fm_16003","0.33333333333333337",,"2003-02-10T00:00","2001-03-28T00:00","2003-02-10T00:00","2001-03-28T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","eafc_10803","fm_11145","0.6666666666666667",,"1998-04-01T00:00","1997-09-10T00:00","1998-04-01T00:00","1997-09-10T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_10834","fm_15398","0.0",,"2003-02-10T00:00","2000-04-16T00:00","2003-02-10T00:00","2000-04-16T00:00","0.0","0.0"
