"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerClubComparatorLowerCaseJaccard record1Value","[1] PlayerClubComparatorLowerCaseJaccard record2Value","[1] PlayerClubComparatorLowerCaseJaccard record1PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard record2PreprocessedValue","[1] PlayerClubComparatorLowerCaseJaccard similarity","[1] PlayerClubComparatorLowerCaseJaccard postproccesedSimilarity","[2] PlayerNameComparatorEqual record1Value","[2] PlayerNameComparatorEqual record2Value","[2] PlayerNameComparatorEqual record1PreprocessedValue","[2] PlayerNameComparatorEqual record2PreprocessedValue","[2] PlayerNameComparatorEqual similarity","[2] PlayerNameComparatorEqual postproccesedSimilarity","[3] PlayerClubComparatorJaccard record1Value","[3] PlayerClubComparatorJaccard record2Value","[3] PlayerClubComparatorJaccard record1PreprocessedValue","[3] PlayerClubComparatorJaccard record2PreprocessedValue","[3] PlayerClubComparatorJaccard similarity","[3] PlayerClubComparatorJaccard postproccesedSimilarity","[4] PlayerClubComparatorLevenshtein record1Value","[4] PlayerClubComparatorLevenshtein record2Value","[4] PlayerClubComparatorLevenshtein record1PreprocessedValue","[4] PlayerClubComparatorLevenshtein record2PreprocessedValue","[4] PlayerClubComparatorLevenshtein similarity","[4] PlayerClubComparatorLevenshtein postproccesedSimilarity","[5] PlayerNameComparatorLevenshtein record1Value","[5] PlayerNameComparatorLevenshtein record2Value","[5] PlayerNameComparatorLevenshtein record1PreprocessedValue","[5] PlayerNameComparatorLevenshtein record2PreprocessedValue","[5] PlayerNameComparatorLevenshtein similarity","[5] PlayerNameComparatorLevenshtein postproccesedSimilarity","[6] PlayerBirthdateComparator record1Value","[6] PlayerBirthdateComparator record2Value","[6] PlayerBirthdateComparator record1PreprocessedValue","[6] PlayerBirthdateComparator record2PreprocessedValue","[6] PlayerBirthdateComparator similarity","[6] PlayerBirthdateComparator postproccesedSimilarity","[7] PlayerJerseyNumberComparatorEqual record1Value","[7] PlayerJerseyNumberComparatorEqual record2Value","[7] PlayerJerseyNumberComparatorEqual record1PreprocessedValue","[7] PlayerJerseyNumberComparatorEqual record2PreprocessedValue","[7] PlayerJerseyNumberComparatorEqual similarity","[7] PlayerJerseyNumberComparatorEqual postproccesedSimilarity","[8] PlayerBirthdateComparatorDay record1Value","[8] PlayerBirthdateComparatorDay record2Value","[8] PlayerBirthdateComparatorDay record1PreprocessedValue","[8] PlayerBirthdateComparatorDay record2PreprocessedValue","[8] PlayerBirthdateComparatorDay similarity","[8] PlayerBirthdateComparatorDay postproccesedSimilarity","[9] PlayerNameComparatorMongeElkan record1Value","[9] PlayerNameComparatorMongeElkan record2Value","[9] PlayerNameComparatorMongeElkan record1PreprocessedValue","[9] PlayerNameComparatorMongeElkan record2PreprocessedValue","[9] PlayerNameComparatorMongeElkan similarity","[9] PlayerNameComparatorMongeElkan postproccesedSimilarity"
"WekaMatchingRule","eafc_1500","tm_10010",,"1","N. Etheridge","Neil Etheridge","N. Etheridge","Neil Etheridge","0.3333333333333333","0.3333333333333333","Birmingham City","Birmingham City","birmingham city","birmingham city","1.0","0.0","N. Etheridge","Neil Etheridge","N. Etheridge","Neil Etheridge","0.0","0.0","Birmingham City","Birmingham City","Birmingham City","Birmingham City","1.0","1.0","Birmingham City","Birmingham City","Birmingham City","Birmingham City","1.0","1.0","N. Etheridge","Neil Etheridge","N. Etheridge","Neil Etheridge","0.7857142857142857","0.7857142857142857","1990-02-07T00:00","1990-02-07T00:00","1990-02-07T00:00","1990-02-07T00:00","1.0","1.0","1","1","1","1","1.0","1.0","1990-02-07T00:00","1990-02-07T00:00","1990-02-07T00:00","1990-02-07T00:00","1.0","1.0","N. Etheridge","Neil Etheridge","N. Etheridge","Neil Etheridge","0.625","0.625"
"WekaMatchingRule","tm_5606","eafc_1216","7.972179255761387E-6",,"Alexsandro","Azpilicueta","Alexsandro","Azpilicueta","0.0","0.0","LOSC Lille","Atlético Madrid","losc lille","atlético madrid","0.0","0.0","Alexsandro","Azpilicueta","Alexsandro","Azpilicueta","0.0","0.0","LOSC Lille","Atlético Madrid","LOSC Lille","Atlético Madrid","0.0","0.0","LOSC Lille","Atlético Madrid","LOSC Lille","Atlético Madrid","0.19999999999999996","0.19999999999999996","Alexsandro","Azpilicueta","Alexsandro","Azpilicueta","0.09090909090909094","0.09090909090909094","1999-08-09T00:00","1989-08-28T00:00","1999-08-09T00:00","1989-08-28T00:00","0.0","0.0","4","3","4","3","0.0","0.0","1999-08-09T00:00","1989-08-28T00:00","1999-08-09T00:00","1989-08-28T00:00","0.0","0.0","Alexsandro","Azpilicueta","Alexsandro","Azpilicueta","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","tm_9318","eafc_2984","8.015529051475038E-6",,"Alemão","A. Appindangoye","Alemão","A. Appindangoye","0.0","0.0",,"Sivasspor","","sivasspor","0.0","0.0","Alemão","A. Appindangoye","Alemão","A. Appindangoye","0.0","0.0",,"Sivasspor",,"Sivasspor","0.0","0.0",,"Sivasspor",,"Sivasspor","0.0","0.0","Alemão","A. Appindangoye","Alemão","A. Appindangoye","0.1333333333333333","0.1333333333333333","1998-04-01T00:00","1992-02-20T00:00","1998-04-01T00:00","1992-02-20T00:00","0.0","0.0","14","4","14","4","0.0","0.0","1998-04-01T00:00","1992-02-20T00:00","1998-04-01T00:00","1992-02-20T00:00","0.0","0.0","Alemão","A. Appindangoye","Alemão","A. Appindangoye","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","eafc_9497","tm_10416",,"1","D. Scherhant","Derry Scherhant","D. Scherhant","Derry Scherhant","0.3333333333333333","0.3333333333333333","Hertha BSC","Hertha BSC","hertha bsc","hertha bsc","1.0","0.0","D. Scherhant","Derry Scherhant","D. Scherhant","Derry Scherhant","0.0","0.0","Hertha BSC","Hertha BSC","Hertha BSC","Hertha BSC","1.0","1.0","Hertha BSC","Hertha BSC","Hertha BSC","Hertha BSC","1.0","1.0","D. Scherhant","Derry Scherhant","D. Scherhant","Derry Scherhant","0.7333333333333334","0.7333333333333334","2002-11-10T00:00","2002-11-10T00:00","2002-11-10T00:00","2002-11-10T00:00","1.0","1.0","39","39","39","39","1.0","1.0","2002-11-10T00:00","2002-11-10T00:00","2002-11-10T00:00","2002-11-10T00:00","1.0","1.0","D. Scherhant","Derry Scherhant","D. Scherhant","Derry Scherhant","0.6","0.6"
"WekaMatchingRule","eafc_10770","tm_4607",,"0","A. Harshan","Mustafa Erdilman","A. Harshan","Mustafa Erdilman","0.0","0.0","Al Okhdood","Antalyaspor","al okhdood","antalyaspor","0.0","0.0","A. Harshan","Mustafa Erdilman","A. Harshan","Mustafa Erdilman","0.0","0.0","Al Okhdood","Antalyaspor","Al Okhdood","Antalyaspor","0.0","0.0","Al Okhdood","Antalyaspor","Al Okhdood","Antalyaspor","0.18181818181818177","0.18181818181818177","A. Harshan","Mustafa Erdilman","A. Harshan","Mustafa Erdilman","0.25","0.25","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","1.0","1.0","28","30","28","30","0.0","0.0","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","2004-01-01T00:00","1.0","1.0","A. Harshan","Mustafa Erdilman","A. Harshan","Mustafa Erdilman","0.19642857142857145","0.19642857142857145"
"WekaMatchingRule","tm_9318","eafc_7199","9.153602129769924E-6",,"Alemão","A. Abdi","Alemão","A. Abdi","0.0","0.0",,"Caen","","caen","0.0","0.0","Alemão","A. Abdi","Alemão","A. Abdi","0.0","0.0",,"Caen",,"Caen","0.0","0.0",,"Caen",,"Caen","0.0","0.0","Alemão","A. Abdi","Alemão","A. Abdi","0.1428571428571429","0.1428571428571429","1998-04-01T00:00","1993-12-20T00:00","1998-04-01T00:00","1993-12-20T00:00","0.0","0.0","14","2","14","2","0.0","0.0","1998-04-01T00:00","1993-12-20T00:00","1998-04-01T00:00","1993-12-20T00:00","0.0","0.0","Alemão","A. Abdi","Alemão","A. Abdi","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","tm_3041","eafc_7330","9.591337092021643E-6",,"Andrigo","Arambarri","Andrigo","Arambarri","0.0","0.0","Chengdu Rongcheng","Leganés","chengdu rongcheng","leganés","0.0","0.0","Andrigo","Arambarri","Andrigo","Arambarri","0.0","0.0","Chengdu Rongcheng","Leganés","Chengdu Rongcheng","Leganés","0.0","0.0","Chengdu Rongcheng","Leganés","Chengdu Rongcheng","Leganés","0.17647058823529416","0.17647058823529416","Andrigo","Arambarri","Andrigo","Arambarri","0.11111111111111116","0.11111111111111116","1995-02-27T00:00","1998-01-31T00:00","1995-02-27T00:00","1998-01-31T00:00","0.0","0.0","18","22","18","22","0.0","0.0","1995-02-27T00:00","1998-01-31T00:00","1995-02-27T00:00","1998-01-31T00:00","0.0","0.0","Andrigo","Arambarri","Andrigo","Arambarri","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","tm_5606","eafc_10803","2.670947485753444E-4",,"Alexsandro","Alemão","Alexsandro","Alemão","0.0","0.0","LOSC Lille","Real Oviedo","losc lille","real oviedo","0.0","0.0","Alexsandro","Alemão","Alexsandro","Alemão","0.0","0.0","LOSC Lille","Real Oviedo","LOSC Lille","Real Oviedo","0.0","0.0","LOSC Lille","Real Oviedo","LOSC Lille","Real Oviedo","0.18181818181818177","0.18181818181818177","Alexsandro","Alemão","Alexsandro","Alemão","0.4","0.4","1999-08-09T00:00","1998-04-01T00:00","1999-08-09T00:00","1998-04-01T00:00","0.6666666666666667","0.6666666666666667","4","14","4","14","0.0","0.0","1999-08-09T00:00","1998-04-01T00:00","1999-08-09T00:00","1998-04-01T00:00","0.0","0.0","Alexsandro","Alemão","Alexsandro","Alemão","0.4","0.4"
"WekaMatchingRule","eafc_6259","tm_7834",,"1","M. Bülter","Marius Bülter","M. Bülter","Marius Bülter","0.3333333333333333","0.3333333333333333","TSG Hoffenheim","TSG 1899 Hoffenheim","tsg hoffenheim","tsg 1899 hoffenheim","0.6666666666666666","0.0","M. Bülter","Marius Bülter","M. Bülter","Marius Bülter","0.0","0.0","TSG Hoffenheim","TSG 1899 Hoffenheim","TSG Hoffenheim","TSG 1899 Hoffenheim","0.6666666666666666","0.0","TSG Hoffenheim","TSG 1899 Hoffenheim","TSG Hoffenheim","TSG 1899 Hoffenheim","0.736842105263158","0.736842105263158","M. Bülter","Marius Bülter","M. Bülter","Marius Bülter","0.6153846153846154","0.6153846153846154","1993-03-29T00:00","1993-03-29T00:00","1993-03-29T00:00","1993-03-29T00:00","1.0","1.0","21","21","21","21","1.0","1.0","1993-03-29T00:00","1993-03-29T00:00","1993-03-29T00:00","1993-03-29T00:00","1.0","1.0","M. Bülter","Marius Bülter","M. Bülter","Marius Bülter","0.5833333333333333","0.5833333333333333"
"WekaMatchingRule","tm_4377","eafc_8769","6.0459623785896036E-5",,"Angeliño","Abner","Angeliño","Abner","0.0","0.0","RB Leipzig","Real Betis","rb leipzig","real betis","0.0","0.0","Angeliño","Abner","Angeliño","Abner","0.0","0.0","RB Leipzig","Real Betis","RB Leipzig","Real Betis","0.0","0.0","RB Leipzig","Real Betis","RB Leipzig","Real Betis","0.30000000000000004","0.30000000000000004","Angeliño","Abner","Angeliño","Abner","0.25","0.25","1997-01-04T00:00","2000-05-27T00:00","1997-01-04T00:00","2000-05-27T00:00","0.0","0.0","3","20","3","20","0.0","0.0","1997-01-04T00:00","2000-05-27T00:00","1997-01-04T00:00","2000-05-27T00:00","0.0","0.0","Angeliño","Abner","Angeliño","Abner","0.25","0.25"
